dispatch_id,name,op,shape,cycles
49,l6.cv1.conv,conv2d_s8,N=1;IC=128;IH=10;IW=10;OC=128;OH=10;OW=10;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1178203
50,l6.cv1.bn,batchnorm2d_s8,N=1;C=128;H=10;W=10,19092
51,l6.cv1.act,silu_s8,n=12800,231735
53,l6.m0.cv1.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1863219
54,l6.m0.cv1.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9647
55,l6.m0.cv1.act,silu_s8,n=6400,151561
56,l6.m0.cv2.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1863368
57,l6.m0.cv2.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9582
58,l6.m0.cv2.act,silu_s8,n=6400,150162
59,add_3,add_s8,n=6400,11788
60,l6.m1.cv1.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1862781
